speed,time_spent,visits
1.2,10,3
1.5,12,4
2.0,8,2
1.8,15,5
2.2,9,3
1.0,11,2
1.7,13,4
2.5,14,5
1.3,7,2
2.1,16,6
1.4,9,3
2.3,12,4
1.6,10,3
2.0,11,4
1.9,13,5
2.2,15,6
1.1,8,2
2.4,14,5
1.8,12,4
2.3,16,6
4.5,30,10
5.0,35,12
4.8,28,9
5.5,40,13
6.0,45,15
4.2,32,11
5.8,38,14
6.2,42,16
4.9,36,12
5.6,39,13
6.1,41,15
5.3,34,11
4.7,29,10
5.9,37,14
6.3,44,16
4.4,31,11
5.7,33,12
6.4,46,17
4.6,30,10
5.2,35,13
7.5,10,18
8.0,8,17
7.8,12,19
8.5,9,18
9.0,7,20
7.2,11,17
8.8,6,19
9.2,5,20
7.9,10,18
8.6,8,17
9.1,6,20
7.4,9,18
8.7,7,19
9.3,5,20
7.6,11,18
8.2,9,17
9.4,6,20
7.3,10,18
8.9,7,19
9.5,5,20
3.0,20,7
3.5,22,8
3.2,18,6
3.8,25,9
4.0,27,10
3.1,19,7
3.6,23,8
4.2,26,10
3.4,21,7
3.9,24,9
4.1,28,10
3.3,20,7
3.7,22,8
4.3,27,10
3.2,19,7
3.8,24,9
4.4,26,10
3.5,21,8
3.9,23,9
4.0,25,10
6.8,50,12
7.2,55,13
6.5,48,11
7.0,52,12
7.5,58,14
6.7,49,11
7.3,54,13
7.8,57,14
6.9,51,12
7.1,53,13
7.6,59,14
6.6,47,11
7.4,56,13
7.9,60,14
6.8,50,12
7.2,55,13
7.7,58,14
6.9,52,12
7.3,54,13
7.8,57,14
